epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.1,492.6999372243881,39.176,nan,48.12,48.12
1,0.1,338.59162896871567,59.9,nan,66.58,66.58
2,0.1,259.7549780905247,70.288,nan,72.35,72.35
3,0.1,221.69053718447685,74.904,nan,74.88,74.88
4,0.1,196.84007370471954,77.988,51.511099725961685,77.29,77.29
5,0.1,182.1419703066349,79.746,nan,77.41,77.41
6,0.1,171.80853340029716,80.766,nan,81.07,81.07
7,0.1,159.74785515666008,82.416,nan,81.62,81.62
8,0.1,152.60814690589905,83.242,nan,81.85,81.85
9,0.1,147.92444686591625,83.652,nan,82.72,82.72
10,0.1,143.05191192030907,84.232,nan,82.81,82.81
11,0.1,143.87010689079762,83.862,nan,82.75,82.81
12,0.1,136.8162834495306,84.962,nan,83.65,83.65
13,0.1,132.18048176169395,85.396,nan,85.84,85.84
14,0.1,129.54685431718826,85.628,nan,84.42,85.84
15,0.1,129.28433388471603,85.572,nan,83.62,85.84
16,0.1,124.93328510224819,86.074,nan,84.33,85.84
17,0.1,123.79624871909618,86.45,nan,84.88,85.84
18,0.1,121.18954546749592,86.714,nan,86.42,86.42
19,0.1,119.75693465769291,86.866,nan,84.3,86.42
20,0.1,118.5646263062954,86.968,nan,85.35,86.42
21,0.1,121.62519104778767,86.584,nan,84.55,86.42
22,0.1,119.40943695604801,86.772,nan,84.31,86.42
23,0.1,116.47390584647655,87.282,nan,85.95,86.42
24,0.1,112.71561908721924,87.688,nan,85.69,86.42
25,0.1,116.12462656199932,87.156,nan,86.37,86.42
26,0.1,113.0750363022089,87.488,nan,82.93,86.42
27,0.1,112.0496618449688,87.808,nan,84.92,86.42
28,0.1,112.88787169754505,87.604,nan,85.35,86.42
29,0.1,112.78940081596375,87.594,nan,85.7,86.42
30,0.1,108.04857605695724,88.026,nan,86.21,86.42
31,0.020000000000000004,62.607947301119566,93.422,nan,91.65,91.65
32,0.020000000000000004,49.627626821398735,94.784,nan,91.56,91.65
33,0.020000000000000004,43.31763635575771,95.634,nan,91.85,91.85
34,0.020000000000000004,39.85647474229336,96.024,nan,92.26,92.26
