epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.1,888.6588305234909,9.972,175.85723268985748,10.0,10.0
1,0.1,687.6943826675415,9.926,175.87049770355225,10.0,10.0
2,0.1,687.5073158740997,10.178,175.90783441066742,10.0,10.0
3,0.1,687.8325024843216,9.742,175.89849162101746,10.0,10.0
4,0.1,687.8831741809845,9.848,175.93898844718933,10.0,10.0
5,0.1,687.7935307025909,9.932,176.03881084918976,10.0,10.0
6,0.1,688.0612442493439,9.954,176.02553510665894,10.0,10.0
7,0.1,688.3444057703018,9.99,175.90019583702087,10.0,10.0
8,0.1,688.4204097986221,10.166,176.35479044914246,10.0,10.0
9,0.1,688.1837004423141,10.138,176.1140078306198,10.0,10.0
10,0.1,662.4396514892578,13.966,768.6471920013428,11.8,11.8
11,0.1,574.9722086191177,25.744,161.87802135944366,22.66,22.66
12,0.1,550.8084224462509,30.114,nan,30.13,30.13
13,0.1,528.2761907577515,34.206,nan,30.98,30.98
14,0.1,647.392245054245,16.586,176.61410319805145,10.0,30.98
15,0.1,689.0065371990204,10.232,176.42557835578918,10.0,30.98
16,0.1,689.2847154140472,10.152,176.54237008094788,10.0,30.98
17,0.1,689.1410230398178,9.934,176.70559012889862,10.0,30.98
18,0.1,688.3511078357697,10.252,176.10595035552979,10.0,30.98
19,0.1,649.229115486145,15.066,nan,19.89,30.98
20,0.1,587.3100689649582,22.604,148.13649570941925,24.09,30.98
21,0.1,563.0369304418564,28.728,166.98253226280212,24.01,30.98
22,0.1,552.3098047971725,30.568,177.8966464996338,22.59,30.98
23,0.1,617.3479402065277,21.238,179.441339969635,10.0,30.98
24,0.1,608.2666177749634,22.212,143.09516489505768,32.32,32.32
25,0.1,572.5495820045471,27.742,182.2600885629654,10.0,32.32
26,0.1,581.5149435997009,26.834,nan,24.34,32.32
27,0.1,524.6417382955551,34.662,nan,9.37,32.32
28,0.1,689.8791630268097,10.098,176.3766494989395,10.0,32.32
29,0.1,661.8574085235596,14.306,154.35114359855652,21.34,32.32
30,0.1,551.1391186714172,30.928,nan,13.47,32.32
31,0.020000000000000004,687.7671867609024,9.922,175.7835590839386,10.2,32.32
32,0.020000000000000004,629.1968694925308,19.982,149.77569901943207,25.57,32.32
33,0.020000000000000004,562.8479447364807,29.216,145.04036688804626,25.9,32.32
34,0.020000000000000004,534.8414520025253,33.436,131.369602560997,35.08,35.08
35,0.020000000000000004,500.15822660923004,37.764,133.6082000732422,37.38,37.38
36,0.020000000000000004,490.13357520103455,39.316,126.47096848487854,39.09,39.09
37,0.020000000000000004,478.1964691877365,40.796,128.99808609485626,37.48,39.09
38,0.020000000000000004,463.6247136592865,42.734,153.05604195594788,32.36,39.09
39,0.020000000000000004,500.5655816793442,38.186,131.38589572906494,37.47,39.09
40,0.020000000000000004,481.2788190841675,41.108,nan,12.92,39.09
41,0.020000000000000004,691.8394333124161,9.932,175.96841025352478,10.07,39.09
42,0.020000000000000004,688.2138613462448,9.946,176.00163793563843,10.0,39.09
43,0.020000000000000004,687.7440378665924,9.98,176.03494215011597,10.0,39.09
44,0.020000000000000004,687.6992359161377,10.022,176.00159442424774,10.0,39.09
45,0.020000000000000004,687.6201204061508,10.06,175.97838878631592,10.0,39.09
46,0.020000000000000004,687.7945817708969,9.676,nan,10.1,39.09
47,0.020000000000000004,687.4522593021393,10.214,175.89617943763733,10.0,39.09
48,0.020000000000000004,687.291755437851,10.052,176.0146597623825,10.02,39.09
49,0.020000000000000004,687.4373071193695,10.238,176.05950033664703,10.0,39.09
50,0.020000000000000004,685.6263060569763,10.776,nan,9.9,39.09
51,0.020000000000000004,661.6184111833572,16.606,nan,9.94,39.09
52,0.020000000000000004,614.3545402288437,23.496,187.87475323677063,12.62,39.09
53,0.020000000000000004,586.896592259407,27.754,224.29865884780884,13.72,39.09
54,0.020000000000000004,542.8560124635696,33.102,nan,9.93,39.09
55,0.020000000000000004,506.6375331878662,37.3,nan,10.38,39.09
56,0.020000000000000004,500.0787191390991,38.206,138.28038597106934,37.11,39.09
57,0.020000000000000004,489.6161890029907,39.804,147.49694502353668,33.55,39.09
58,0.020000000000000004,467.6733705997467,42.394,126.9438545703888,41.57,41.57
59,0.020000000000000004,595.9558454751968,24.684,175.93746936321259,10.0,41.57
60,0.020000000000000004,690.9677344560623,10.222,nan,9.98,41.57
61,0.004000000000000001,687.6604162454605,10.062,nan,9.94,41.57
62,0.004000000000000001,687.4975889921188,10.0,nan,10.0,41.57
63,0.004000000000000001,687.4530123472214,10.18,nan,9.99,41.57
64,0.004000000000000001,687.345206618309,9.98,nan,9.99,41.57
65,0.004000000000000001,687.3430948257446,9.916,nan,9.98,41.57
66,0.004000000000000001,687.4265455007553,10.136,nan,9.96,41.57
67,0.004000000000000001,687.4078059196472,9.926,nan,10.02,41.57
68,0.004000000000000001,687.4031673669815,9.912,nan,9.97,41.57
69,0.004000000000000001,687.2318714857101,10.036,nan,10.0,41.57
70,0.004000000000000001,687.3833694458008,10.088,nan,9.96,41.57
71,0.004000000000000001,687.3342773914337,9.776,nan,10.01,41.57
72,0.004000000000000001,687.1887303590775,10.312,nan,9.97,41.57
73,0.004000000000000001,687.2469164133072,9.918,nan,9.99,41.57
74,0.004000000000000001,687.2182058095932,10.028,nan,10.02,41.57
75,0.004000000000000001,687.2742071151733,10.012,nan,10.01,41.57
76,0.004000000000000001,687.1532996892929,10.226,nan,10.03,41.57
77,0.004000000000000001,687.369513630867,9.774,nan,9.99,41.57
78,0.004000000000000001,687.263436794281,10.058,nan,10.01,41.57
79,0.004000000000000001,687.2097982168198,9.98,nan,9.95,41.57
80,0.004000000000000001,687.157640337944,9.98,nan,9.97,41.57
81,0.004000000000000001,687.121951341629,9.886,nan,10.0,41.57
82,0.004000000000000001,687.1683163642883,9.826,nan,10.05,41.57
83,0.004000000000000001,687.0676838159561,9.91,nan,9.97,41.57
84,0.004000000000000001,687.2464699745178,9.878,nan,10.0,41.57
85,0.004000000000000001,687.0666624307632,10.158,nan,10.0,41.57
86,0.004000000000000001,686.9589186906815,10.0,nan,9.93,41.57
87,0.004000000000000001,687.1649293899536,10.074,nan,9.93,41.57
88,0.004000000000000001,687.1324796676636,10.092,nan,10.0,41.57
89,0.004000000000000001,687.0215458869934,9.996,nan,10.02,41.57
90,0.004000000000000001,687.1665539741516,10.048,nan,9.98,41.57
91,0.0008000000000000003,686.9626264572144,10.032,nan,10.02,41.57
92,0.0008000000000000003,686.872695684433,10.066,nan,9.92,41.57
93,0.0008000000000000003,686.8968044519424,10.25,nan,10.01,41.57
94,0.0008000000000000003,686.8725265264511,10.018,nan,10.02,41.57
95,0.0008000000000000003,686.7920013666153,10.058,nan,9.99,41.57
96,0.0008000000000000003,686.8547257184982,9.956,nan,10.01,41.57
97,0.0008000000000000003,686.831714630127,9.964,nan,10.02,41.57
98,0.0008000000000000003,686.9642478227615,10.0,nan,10.02,41.57
99,0.0008000000000000003,686.8320008516312,9.984,nan,9.98,41.57
100,0.0008000000000000003,686.8460108041763,9.828,nan,9.92,41.57
101,0.0008000000000000003,686.8743518590927,10.072,nan,10.02,41.57
102,0.0008000000000000003,686.7632528543472,10.072,nan,10.23,41.57
103,0.0008000000000000003,686.7906614542007,9.916,nan,9.94,41.57
104,0.0008000000000000003,686.8710784912109,9.916,nan,9.97,41.57
105,0.0008000000000000003,686.872554898262,9.75,nan,9.98,41.57
106,0.0008000000000000003,686.8092614412308,10.224,nan,10.01,41.57
107,0.0008000000000000003,686.8874727487564,9.958,nan,10.17,41.57
108,0.0008000000000000003,686.8786890506744,10.156,nan,10.0,41.57
109,0.0008000000000000003,686.7738206386566,10.086,nan,10.11,41.57
110,0.0008000000000000003,686.8852500915527,9.886,nan,10.02,41.57
111,0.0008000000000000003,686.8402978181839,10.026,nan,9.95,41.57
112,0.0008000000000000003,686.8847272396088,10.082,nan,10.01,41.57
113,0.0008000000000000003,686.9051916599274,9.836,nan,9.99,41.57
114,0.0008000000000000003,686.8409436941147,10.09,nan,9.91,41.57
115,0.0008000000000000003,686.8217815160751,10.036,nan,10.0,41.57
116,0.0008000000000000003,686.8568021059036,10.02,nan,10.03,41.57
117,0.0008000000000000003,686.879979133606,9.95,nan,10.02,41.57
